,lat,lon,type,lat_ind,lon_ind,distance
170,35.5324,-121.7261,1,90,97,0.2832794847635327
171,35.6515,-121.724,1,96,97,0.9109690301606491
172,35.5112,-121.7226,1,89,97,0.7344043839009136
173,35.6303,-121.7205,1,95,97,0.8680523097184054
174,35.49,-121.7191,1,88,97,1.1863831303296746
175,35.609,-121.717,1,94,98,1.0353689127398245
176,35.4688,-121.7156,1,86,98,1.24818866847858
177,35.5878,-121.7135,1,93,98,0.7047467049881722
178,35.4475,-121.7122,1,85,98,0.7936021086112892
179,35.5666,-121.71,1,92,98,0.5749529040295643
180,35.5454,-121.7066,1,91,98,0.758149045353675
181,35.5241,-121.7031,1,89,98,0.9961356881945723
182,35.5029,-121.6996,1,88,98,0.8786227045734535
183,35.4817,-121.6961,1,87,98,0.9811286034310022
184,35.4605,-121.6926,1,86,99,0.7909482953047582
185,35.5795,-121.6905,1,92,99,1.1929989790465645
186,35.5583,-121.687,1,91,99,0.7588414863594224
187,35.5371,-121.6835,1,90,99,0.37053871073580147
188,35.5159,-121.68,1,89,99,0.33085782610839665
189,35.4947,-121.6765,1,88,99,0.7029773736271988
190,35.4734,-121.6731,1,87,99,1.1330868612241431
191,35.4522,-121.6696,1,86,100,1.1702157384296235
192,35.55,-121.6639,1,91,100,0.3563862400327128
193,35.5288,-121.6605,1,90,100,0.5459482093835855
194,35.5076,-121.657,1,89,100,0.9372973662106687
195,35.4864,-121.6535,1,87,100,1.11234079572692
196,35.4651,-121.65,1,86,101,1.1484083354842056
197,35.5418,-121.6409,1,90,101,0.936714524255277
198,35.5205,-121.6374,1,89,101,0.5906996677522143
199,35.4993,-121.634,1,88,101,0.4948243016894
200,35.4781,-121.6305,1,87,101,0.7459046978464433
201,35.4569,-121.627,1,86,102,1.0332781820405583
202,35.5335,-121.6178,1,90,102,0.17560081125599394
203,35.5122,-121.6144,1,89,102,0.3610764451919212
204,35.491,-121.6109,1,88,102,0.8005773389388035
205,35.4698,-121.6075,1,87,102,1.2448763141656027
206,35.5464,-121.5983,1,91,103,0.7568595595730447
207,35.5252,-121.5948,1,90,103,0.9261083419100196
208,35.504,-121.5914,1,88,103,0.8298755271752682
209,35.4827,-121.5879,1,87,103,0.7082237803278677
210,35.4615,-121.5844,1,86,103,0.8634254515214675
211,35.4744,-121.5649,1,87,104,0.7100305294376695
